title_id,genre,main_rating,main_title,title_id
26084,['story' 'fantasy' 'drama'],9.84,열쇠줍는아이,26084
26086,['story' 'drama'],9.93,심장이뛰다,26086
26101,['episode' 'daily' 'comic'],8.97,와탕카2,26101
26107,['story' 'drama'],9.93,새끼손가락,26107
26108,['story' 'fantasy'],9.95,언더프린,26108
26114,['omnibus' 'daily' 'comic'],9.79,탐구생활3,26114
26115,['story' 'thrill'],9.86,고향의꽃,26115
26144,['episode' 'daily' 'comic'],9.15,취업의소리,26144
26205,['story' 'action'],9.45,쎈놈,26205
26216,['episode' 'sensibility'],9.79,일편단심화,26216
26309,['story' 'comic'],8.71,정열맨,26309
26310,['story' 'fantasy' 'drama'],9.95,3단합체김창남,26310
26316,['episode' 'daily' 'comic'],9.85,와라! 편의점,26316
26431,['story'],9.17,창위의일루젼,26431
26440,['story' 'fantasy'],5.26,반지의제왕,26440
26456,['story' 'thrill'],9.78,N의등대-thecalling,26456
26458,['story' 'thrill'],9.91,N의등대-눈의등대,26458
26460,['story' 'thrill'],9.87,N의등대-busted,26460
26473,['story' 'thrill'],9.74,N의등대-도망자,26473
26671,['story' 'pure'],9.84,레드초콜릿,26671
268858,['story' 'action'],9.90,쎈놈 외전,268858
268859,['story' 'action' 'drama'],9.93,지원,268859
274400,['story' 'thrill'],9.64,혜성같은 소년,274400
277235,['story' 'drama' 'sports'],9.85,리턴,277235
284940,['story' 'comic' 'fantasy'],9.92,요리대마왕,284940
285855,['story' 'fantasy'],9.84,용의 아들 최창식,285855
293520,['story' 'drama' 'pure'],9.91,오렌지 마말레이드,293520
293521,['story' 'daily'],9.93,삐뚤빼뚤해도 괜찮아,293521
293523,['omnibus' 'drama'],9.95,닥터 프로스트,293523
297795,['story' 'fantasy'],9.94,크리퍼스큘,297795
297796,['story' 'comic' 'drama'],9.95,사랑의 아쿠아리움,297796
300957,['story' 'drama'],9.77,까치우는 날,300957
301377,['story' 'sports'],9.58,뷰티플 게임,301377
301382,['omnibus' 'drama'],9.92,웨스트우드 비브라토,301382
308751,['story' 'comic'],9.94,잉잉잉,308751
308801,['story' 'drama'],9.93,봄이여 오라,308801
310616,['story' 'fantasy'],9.93,원티드,310616
310617,['story' 'comic'],9.86,영웅열공전,310617
312979,['episode' 'daily'],7.01,힘내요 일본!-[릴레이웹툰],312979
316908,['story' 'sensibility'],9.83,멍순이,316908
